file,patch_number,block,patch_length,patch_position,n_trials,beta_power_avg,frontal_asymmetry,aperiodic_exponent_avg,aperiodic_offset_avg,central_freq_avg
31730_processed.fif,1,pre-stress,8,early,3,1.3718544478901268e-13,1.028544311319056,1.2954929598429412,-12.056498364746126,22.255669759961304
31730_processed.fif,1,pre-stress,8,mid,3,1.6261750971129713e-13,0.9447468916278119,1.1788396224944047,-12.152324013241016,22.754164059449945
31730_processed.fif,1,pre-stress,8,late,2,1.7704033946927875e-13,1.0003923791128795,1.2184054759826684,-12.111284907836405,21.83818128241373
31730_processed.fif,1,pre-stress,8,leave,1,1.3805153852285104e-13,0.4985795189561806,1.2454866741800439,-12.134621230494938,25.627527094288762
31730_processed.fif,2,pre-stress,10,early,4,1.600921192063458e-13,0.8155493261131914,1.1497128197650968,-12.16457545795758,21.79737858114612
31730_processed.fif,2,pre-stress,10,mid,3,1.700515711670893e-13,0.8265487430076467,1.2029998962008317,-12.102705645774998,21.580934618586056
31730_processed.fif,2,pre-stress,10,late,3,1.8497591596662362e-13,0.6111901641435331,1.1566151312358295,-12.11984129690056,19.308281116350248
31730_processed.fif,2,pre-stress,10,leave,1,1.650644727471114e-13,1.0265343529081896,1.066633524557071,-12.224205423511405,20.100714763245037
31730_processed.fif,3,pre-stress,10,early,4,1.7552022166927663e-13,0.8607860886591245,1.4336698608074143,-11.774595574083211,18.53755958760043
31730_processed.fif,3,pre-stress,10,mid,3,2.356664872221977e-13,1.1218260775651696,1.0993957486533812,-12.21628816788914,20.801412471788996
31730_processed.fif,3,pre-stress,10,late,3,2.3975108581552204e-13,1.2169533239106205,1.7439433794747394,-11.232628318480552,26.65504758071563
31730_processed.fif,3,pre-stress,10,leave,1,2.1255213804843807e-13,1.0056742287437714,1.2094352337314287,-12.024741856131573,18.866216849637123
31730_processed.fif,4,pre-stress,7,early,3,1.237500215659765e-12,0.9145941246989615,1.577026298346495,-11.328025836447068,24.247089869653802
31730_processed.fif,4,pre-stress,7,mid,2,2.484127911340347e-13,0.9904153110940985,1.0999110693305827,-12.095778685616963,25.039995661104314
31730_processed.fif,4,pre-stress,7,late,2,2.6306487357124187e-13,1.0226399246725268,1.2876004844663824,-11.849159403367874,17.501053799451732
31730_processed.fif,4,pre-stress,7,leave,1,3.025634819901816e-13,0.9808204528514644,1.0960386856769422,-12.092389613213273,15.519859736213956
31730_processed.fif,5,pre-stress,4,early,2,2.3952884164954046e-13,1.2214556334219822,1.3549371452278534,-11.771990184472624,26.372180902526026
31730_processed.fif,5,pre-stress,4,mid,1,2.925475348775175e-13,1.7746821872458476,1.0855392949987444,-12.181337734526275,22.871239119042343
31730_processed.fif,5,pre-stress,4,late,1,3.0772513475267006e-13,1.4714684310459454,1.5848035529894202,-11.37395689094997,29.59119199153267
31730_processed.fif,5,pre-stress,4,leave,1,2.0408101484134755e-13,0.8013192688016169,0.9498944832598767,-12.377693423818824,22.424056194250493
31730_processed.fif,6,pre-stress,5,early,2,3.9367023098973473e-13,0.8807945663143393,1.3238571202566283,-11.71648406853383,24.159479571286795
31730_processed.fif,6,pre-stress,5,mid,2,2.022648255462291e-13,1.095708079846597,1.5645759226066485,-11.489893766205283,26.01379651037187
31730_processed.fif,6,pre-stress,5,late,1,2.334448822425962e-13,1.2685928209128576,1.4753249669886495,-11.573542048076973,20.32938612102814
31730_processed.fif,6,pre-stress,5,leave,1,2.262527333969673e-13,1.3972640463456507,1.2757035670560746,-11.930868652527913,28.543922328957514
31730_processed.fif,7,pre-stress,6,early,2,3.0946297146929903e-13,1.6757828569237354,1.499111139858392,-11.49453245622696,26.201356118688086
31730_processed.fif,7,pre-stress,6,mid,2,2.1381674728342306e-13,1.1933526028022854,1.3714217561366233,-11.718945492673562,30.4999864735887
31730_processed.fif,7,pre-stress,6,late,2,2.1967259355926317e-13,1.0363990170011572,1.4078957306430495,-11.689760742840459,26.08797679078439
31730_processed.fif,7,pre-stress,6,leave,1,1.8808491131219154e-13,0.6688287369949819,1.6724936675553246,-11.35393020963302,24.737293906043945
31730_processed.fif,8,pre-stress,6,early,2,2.2346239050335316e-13,0.7980503715579665,1.5207416586089826,-11.542607476747444,27.71282020939711
31730_processed.fif,8,pre-stress,6,mid,2,3.1477111233460943e-13,1.0503013889155461,1.4153960279590627,-11.609091044630652,18.2289467340312
31730_processed.fif,8,pre-stress,6,late,2,2.635442055356906e-13,1.1184787628910193,1.3572670268036355,-11.718689027651548,26.52865542915233
31730_processed.fif,8,pre-stress,6,leave,1,2.1064228516918667e-13,1.0801772038367652,1.0368471817263885,-12.306463320716157,23.502976315487704
31730_processed.fif,9,pre-stress,5,early,2,2.484755685620106e-13,1.2364900406061619,1.4758832585219808,-11.546078761584397,30.191521980180347
31730_processed.fif,9,pre-stress,5,mid,2,5.170111323938678e-13,1.0949629817272246,1.6102406256501065,-11.203249850636146,22.441152059606843
31730_processed.fif,9,pre-stress,5,late,1,2.7352832296245653e-13,1.211345856452919,1.6676573955004705,-11.231393445509141,23.3346592763964
31730_processed.fif,9,pre-stress,5,leave,1,2.7428963941072747e-13,0.98383845386563,1.2145988393029021,-11.975457039586878,18.394576426984223
31730_processed.fif,10,post-stress,9,early,3,6.688255440474714e-13,0.6897450628747208,1.5106929831373404,-11.368103015984962,26.123220813482785
31730_processed.fif,10,post-stress,9,mid,3,9.86158134145192e-14,0.5857243315143208,1.393302551969266,-12.039348184919527,25.684815917296124
31730_processed.fif,10,post-stress,9,late,3,1.0892244972892568e-13,0.8525971803095113,1.3965408923629072,-11.995192357184145,20.662257634127002
31730_processed.fif,10,post-stress,9,leave,1,1.2554061423607347e-13,0.6402229474598222,1.2353255094622593,-12.162293862605399,24.764762197785803
31730_processed.fif,11,post-stress,6,early,2,1.160612677194279e-13,0.6778149456963369,1.2373945678876237,-12.18765520854598,21.804453943018515
31730_processed.fif,11,post-stress,6,mid,2,1.248523392732889e-13,0.6388184552270246,1.5513176353561944,-11.722674262445025,23.301940564284994
31730_processed.fif,11,post-stress,6,late,2,1.4884679720884282e-13,0.5937288018510607,1.495715628802179,-11.81258616407441,20.1286561176159
31730_processed.fif,11,post-stress,6,leave,1,1.6065168876518922e-13,0.8212723981432681,1.1753728040604259,-12.094674511297388,14.63066539013631
31730_processed.fif,12,post-stress,6,early,2,1.3621364390178534e-13,1.2295974506211955,1.4107457506616101,-11.954082853096253,24.097720001330707
31730_processed.fif,12,post-stress,6,mid,2,1.2873423842368526e-13,1.0122732266156031,1.4770693736903715,-11.83188125980779,23.905509987997167
31730_processed.fif,12,post-stress,6,late,2,1.2850719162640757e-13,1.0170719341390253,1.3614888108091294,-11.960531059381225,20.446041195694825
31730_processed.fif,12,post-stress,6,leave,1,1.3248567857497146e-13,1.1316794781681168,1.31433740573438,-12.101077883975826,22.121585418630772
31730_processed.fif,13,post-stress,6,early,2,5.23344647486528e-13,0.9897936155663967,1.5659362369063836,-11.370126728442612,24.675267962115704
31730_processed.fif,13,post-stress,6,mid,2,2.564580905128603e-13,1.0272574315845748,1.28599720787049,-11.93780903668384,24.02242549442115
31730_processed.fif,13,post-stress,6,late,2,2.457224629291504e-13,1.064075929826366,1.1233888438687427,-12.091427350579576,18.90826909215931
31730_processed.fif,13,post-stress,6,leave,1,3.0686250973127024e-13,1.3739658763212184,0.8485660060923,-12.409142307644595,24.3702520724417
31730_processed.fif,14,post-stress,8,early,3,3.635515732899889e-13,1.1104827027238133,1.1032924817557757,-12.17258033031151,21.03907666676434
31730_processed.fif,14,post-stress,8,mid,3,4.186798707496536e-11,-0.2709285633419138,0.690505663228953,-11.713123093286882,20.243491046300303
31730_processed.fif,14,post-stress,8,late,2,5.217783362827223e-13,1.0057076910418203,1.3929729142590497,-11.702587993718428,28.91712080159744
31730_processed.fif,14,post-stress,8,leave,1,1.9870537245902172e-13,0.6801851723086365,1.0070655583739803,-12.231873586338155,18.043304248161753
31730_processed.fif,15,post-stress,5,early,2,3.964234452764225e-13,1.0725423886483778,1.052481943060091,-12.169585063747839,18.768941930721617
31730_processed.fif,15,post-stress,5,mid,2,2.8714802210437724e-13,1.1913393656233193,0.9735124713603645,-12.342317548675654,23.19081529331684
31730_processed.fif,15,post-stress,5,late,1,2.457361122359366e-13,0.7986431112430168,1.4119476185519106,-11.644391535898405,24.466005432701863
31730_processed.fif,15,post-stress,5,leave,1,3.5630736491559015e-13,1.1432242117064568,1.1809876958749335,-11.981831656402314,18.637010975893602
31730_processed.fif,16,post-stress,4,early,2,3.6213678869017605e-13,1.257118697043481,1.245610393192241,-11.831081267862285,17.986545509033796
31730_processed.fif,16,post-stress,4,mid,1,4.670488863152042e-13,1.299832786630624,1.1008566679961949,-11.940291814713305,17.510754686066292
31730_processed.fif,16,post-stress,4,late,1,3.9700709271893565e-13,1.2766328949281984,1.1367877308145875,-11.926862152888082,26.589869494045175
31730_processed.fif,16,post-stress,4,leave,1,2.730730644929723e-13,0.8299676276341152,0.9359409991281599,-12.3614957541803,20.687114466982056
31730_processed.fif,17,post-stress,5,early,2,4.333609309532515e-13,0.909747153671919,1.5930271890369694,-11.322431429506974,25.7419846114677
31730_processed.fif,17,post-stress,5,mid,2,3.886160582021827e-13,0.9303422264802634,0.8600397091375056,-12.344942486570602,20.192858551456908
31730_processed.fif,17,post-stress,5,late,1,5.199138001484311e-13,1.0218976010046745,1.8265186303682253,-10.960051484342506,29.87505583274379
31730_processed.fif,17,post-stress,5,leave,1,4.552498553557447e-13,1.139134787438966,1.313033597953386,-11.71505950077376,26.11592193890161
31730_processed.fif,18,post-stress,4,early,2,5.710359115664021e-13,1.2930332385285013,1.1930183093151776,-11.779700360306869,22.969054339595566
31730_processed.fif,18,post-stress,4,mid,1,4.5676820606511e-13,1.0554129321796317,1.4354607750654722,-11.409291782405301,25.0231034050032
31730_processed.fif,18,post-stress,4,late,1,5.879484997694526e-13,1.1536537762043544,1.2126988669923886,-11.767911144320252,25.355128591341842
31730_processed.fif,18,post-stress,4,leave,1,4.2733540161355896e-13,0.9811245568815714,0.7170842639137125,-12.552151376514553,26.74687667103953
31730_processed.fif,19,post-stress,6,early,2,5.247975636428651e-13,0.9496258548342009,1.48790086356163,-11.391176442006913,25.318979430656967
31730_processed.fif,19,post-stress,6,mid,2,5.403724004146441e-13,1.01106996146863,0.8633095088198162,-12.259400090097824,18.89025681331412
31730_processed.fif,19,post-stress,6,late,2,7.871116572217938e-13,1.2300008202104173,0.9227796575124765,-12.07547395216916,19.31577245530375
31730_processed.fif,19,post-stress,6,leave,1,6.572800075675204e-13,1.6293110716620234,1.2740383946594072,-11.556387115522922,28.75627464123083
31730_processed.fif,20,post-stress,6,early,2,6.992177641069508e-13,1.7464215086963613,1.6164715296161232,-11.165678727559893,20.442054879640807
31730_processed.fif,20,post-stress,6,mid,2,4.5277363494345885e-13,1.1016766753605367,1.1556549208140323,-11.890065740938777,21.849141955286818
31730_processed.fif,20,post-stress,6,late,2,6.292587866065704e-13,1.2442697062298524,0.9997322552508179,-12.070819378446238,23.54878540148995
31730_processed.fif,20,post-stress,6,leave,1,4.717464598819484e-13,0.7535935579960515,0.8899779183299857,-12.323952332428796,21.947034093693752
31730_processed.fif,21,post-stress,1,early,1,5.004251081963283e-13,0.794940206281634,1.1738340191499683,-11.769510342761137,23.239710164354463
31730_processed.fif,21,post-stress,1,mid,1,6.141316466521472e-13,0.9709026953478315,1.5678415112318653,-11.291671223006214,24.18860417645185
43000_processed.fif,1,pre-stress,7,early,3,7.900387620501715e-14,0.3406690511809967,1.6397571703858496,-11.644138569407907,26.895941233287612
43000_processed.fif,1,pre-stress,7,mid,2,9.438197534263819e-14,0.5380732934562147,1.6067607202671998,-11.650566182335307,25.627923884094905
43000_processed.fif,1,pre-stress,7,late,2,1.0398273505764406e-13,0.7545362831737901,2.1037720929505848,-10.914034927921554,32.0237404540409
43000_processed.fif,1,pre-stress,7,leave,1,1.4086928551821372e-13,0.5005569214384202,2.50321865369993,-10.15445639766481,32.09371323145038
43000_processed.fif,2,pre-stress,5,early,2,1.0680662948262531e-13,0.4069761998596313,2.110460168997913,-10.852458558966017,28.435316873654056
43000_processed.fif,2,pre-stress,5,mid,2,1.257188057835347e-13,0.4530237547931808,1.7807632204044368,-11.258350788360495,25.56039647818656
43000_processed.fif,2,pre-stress,5,late,1,1.0758630556728355e-13,0.5643223109579516,1.2816808647022775,-12.042706176010203,22.01641484476445
43000_processed.fif,2,pre-stress,5,leave,1,8.563048290991463e-14,0.4716898289892093,1.4563698423988483,-11.84163743865384,22.77606798967671
43000_processed.fif,3,pre-stress,7,early,3,1.1067210598042391e-13,0.8383787691545107,1.6037339850010663,-11.656270620402116,21.38113500791248
43000_processed.fif,3,pre-stress,7,mid,2,9.948466851301701e-14,0.7298688146280394,1.9031700534540643,-11.213015151557197,23.960588190422342
43000_processed.fif,3,pre-stress,7,late,2,1.0677468248043383e-13,0.6999056960738468,1.2052645570319682,-12.183669820509706,15.999434864795514
43000_processed.fif,3,pre-stress,7,leave,1,9.380649613741316e-14,0.5068335922826037,1.4826019378753874,-11.794586416993498,18.29541257368458
43000_processed.fif,4,pre-stress,7,early,3,1.147915232656611e-13,0.6138544342873438,1.6946101468685617,-11.46261343530994,20.690191473071852
43000_processed.fif,4,pre-stress,7,mid,2,1.0545500924111324e-13,0.6469650091902288,1.119952317985188,-12.28103466972411,19.62670278100361
43000_processed.fif,4,pre-stress,7,late,2,1.1773629773240011e-13,0.8121074124682064,2.2707204035451474,-10.653873826911767,25.93872897074145
43000_processed.fif,4,pre-stress,7,leave,1,1.0491907726977665e-13,1.0834643788081948,1.3170404122611354,-12.053959907560658,15.41297148992006
43000_processed.fif,5,pre-stress,6,early,2,1.176745133706432e-13,1.0016658981778797,1.422687705032827,-11.821759385496378,14.858448733829233
43000_processed.fif,5,pre-stress,6,mid,2,1.1281391391014646e-13,1.0769627850303376,1.8263993585668195,-11.303414996846389,29.06942831099716
43000_processed.fif,5,pre-stress,6,late,2,1.0535955416707801e-13,0.7048024030637308,2.49707164855484,-10.297804304829292,33.18131156530842
43000_processed.fif,5,pre-stress,6,leave,1,1.0437002952341638e-13,0.9397622329747115,1.9927352097641025,-11.049926614540226,27.558894144273555
43000_processed.fif,6,pre-stress,11,early,4,1.1604570356945745e-13,0.5969732708504152,2.172891511728898,-10.733893266303511,26.961751330332348
43000_processed.fif,6,pre-stress,11,mid,4,1.0296999563221938e-13,0.6648826133154202,2.116982544985633,-10.844752236276864,28.49289526313297
43000_processed.fif,6,pre-stress,11,late,3,1.2338988223918742e-13,0.6221916446222089,2.0526953383087836,-10.940308814943942,26.24348499483735
43000_processed.fif,6,pre-stress,11,leave,1,8.461247822894374e-14,1.19937898629275,1.4283760254534514,-11.986136135895745,17.987400721363773
43000_processed.fif,7,pre-stress,13,early,5,9.86984026780916e-14,0.8570647352247341,1.6213120818652218,-11.671700248953877,20.346489502397322
43000_processed.fif,7,pre-stress,13,mid,4,9.321199679373752e-14,0.8696991029780712,1.8739969151828397,-11.325247665214956,22.44842108414813
43000_processed.fif,7,pre-stress,13,late,4,1.4194753814475455e-13,0.9880472371509894,1.7874154203525263,-11.307479596279185,28.17535500520885
43000_processed.fif,7,pre-stress,13,leave,1,9.969444775666282e-14,0.9293245096350162,1.4146807697742965,-11.885618690062131,16.362760543846733
43000_processed.fif,8,post-stress,26,early,9,1.1278519656392185e-13,0.8071237041488987,1.9009935536300802,-11.13801775736683,27.393646044278185
43000_processed.fif,8,post-stress,26,mid,9,1.2020846308634758e-13,0.8438335254846395,1.9296978388028887,-11.050268096965167,24.835681610392438
43000_processed.fif,8,post-stress,26,late,8,7.1835863976836e-14,0.26053012659001196,2.0538947548857087,-11.213277972793744,22.3411742147262
43000_processed.fif,8,post-stress,26,leave,1,6.854904762292156e-14,-0.30699741223194366,1.818967961535664,-11.525549065653516,19.863602248174164
43000_processed.fif,9,post-stress,14,early,5,2.126943395497405e-12,0.04648656576294101,1.4563965392675748,-11.487004953782481,17.724278422871443
43000_processed.fif,9,post-stress,14,mid,5,7.615336408584012e-14,0.02020566047820225,2.14409251757829,-11.015437536720862,26.077075281420917
43000_processed.fif,9,post-stress,14,late,4,8.651651787719637e-14,-0.024777326046941717,1.904122014630277,-11.336767905135181,16.863365887913115
43000_processed.fif,9,post-stress,14,leave,1,8.211217477466678e-14,0.48553500767630453,1.5499135098257055,-11.859089060392526,15.181492407915778
43000_processed.fif,10,post-stress,12,early,4,7.754669643398559e-14,0.2851684409041395,1.8345005582347667,-11.479864895946292,18.671286027173068
43000_processed.fif,10,post-stress,12,mid,4,8.568860586027045e-14,0.02603579420270652,1.6357835001887553,-11.651752553671342,16.975374994337784
43000_processed.fif,10,post-stress,12,late,4,8.736452176111382e-14,0.2407158825054081,1.8642212068665405,-11.36207755380999,22.47880752619236
43000_processed.fif,10,post-stress,12,leave,1,8.627781437141782e-14,0.08253369021998935,2.252095119202296,-10.645851252390422,34.10752460738344
43000_processed.fif,11,post-stress,8,early,3,9.071393608782376e-14,0.31671717031526353,2.069451293695589,-10.98089266493605,26.015776234084296
43000_processed.fif,11,post-stress,8,mid,3,9.61876366531301e-14,0.29935341082980454,2.458141810067391,-10.505504803711945,27.493160830557745
43000_processed.fif,11,post-stress,8,late,2,7.884778541243029e-14,0.14044517300158432,1.492111299568419,-11.873220241133694,17.879078445862525
43000_processed.fif,11,post-stress,8,leave,1,6.42469053388973e-14,0.5657355842116623,1.7865040654554114,-11.543297069754873,15.99030608164214
43000_processed.fif,12,post-stress,9,early,3,1.1195078945926958e-13,0.40085134580726134,1.6869428685304186,-11.53449630431475,24.323214147229503
43000_processed.fif,12,post-stress,9,mid,3,8.797445202239285e-14,0.35314195698331,2.1817145842548142,-10.888493096344874,27.3834632426278
43000_processed.fif,12,post-stress,9,late,3,9.9256875067948e-14,-0.0030913607841232724,1.5627287285023999,-11.735179183500753,20.625189668636853
43000_processed.fif,12,post-stress,9,leave,1,9.66449187184208e-14,0.19216039381636563,2.675891055717729,-10.166613957007318,30.125990367490413
43000_processed.fif,13,post-stress,10,early,4,8.546113204394091e-14,0.11410837538390695,2.1044749754794525,-11.009064349088655,24.043085221483516
43000_processed.fif,13,post-stress,10,mid,3,8.730221416114049e-14,0.30927751883076365,1.7595352568375031,-11.502811098409753,21.811152992906845
43000_processed.fif,13,post-stress,10,late,3,9.103909039004755e-14,0.05691070597886494,2.0848239368791517,-11.01631899875953,23.00388468407263
43000_processed.fif,13,post-stress,10,leave,1,8.403884205736696e-14,0.08110682420553061,2.6887033537268916,-10.174524507707678,30.85740246749444
43000_processed.fif,14,post-stress,8,early,3,1.0557333963969177e-13,0.6469397029409159,2.6188846954536755,-10.264363752633797,28.4722368629092
43000_processed.fif,14,post-stress,8,mid,3,1.0622951190916421e-13,0.3431931281185143,2.341905131608741,-10.661876339133054,26.680633837846997
43000_processed.fif,14,post-stress,8,late,2,9.444357752955448e-14,0.15389760003202824,2.0485596107536415,-11.139945118002895,18.947752433140977
43000_processed.fif,14,post-stress,8,leave,1,8.482940983694021e-14,0.4569247895845976,1.20756300499408,-12.150353598309346,25.77095874211527
43000_processed.fif,15,post-stress,6,early,2,1.389475351473246e-13,0.20267572487531638,2.091220357022197,-10.749107949073686,23.472616089918947
43000_processed.fif,15,post-stress,6,mid,2,8.052992327432054e-14,0.45934822985152834,1.4479850209153686,-11.971362098510552,16.058974992883705
43000_processed.fif,15,post-stress,6,late,2,8.642354580940455e-14,0.3277286936070727,2.28953961240714,-10.827734004516365,24.29618786175878
43000_processed.fif,15,post-stress,6,leave,1,1.2822200463849773e-13,0.6066178823272388,1.6424102402176883,-11.630726140903246,19.36541709434753
47131_processed.fif,1,pre-stress,6,early,2,2.6391836090722593e-13,0.013432353080716553,1.1457093918737489,-11.961753056594173,28.31428100822523
47131_processed.fif,1,pre-stress,6,mid,2,2.962316082790954e-13,0.023570130852988314,1.2220122456807234,-11.81479790985849,26.88932706451152
47131_processed.fif,1,pre-stress,6,late,2,3.1417987669249495e-13,0.13978927520811624,1.3208842833402192,-11.589290917968784,26.094445110838354
47131_processed.fif,1,pre-stress,6,leave,1,2.596543812673836e-13,-0.06258832381996271,1.007376157272809,-12.140376423693906,28.14826189417102
47131_processed.fif,2,pre-stress,10,early,4,2.71051899298643e-13,-0.17086352835607777,1.4394972295597976,-11.473809139362999,26.785242531754722
